County,crash_yr,mo,Crash Hr,Vehicles Involved,Crash Severity,Serious Injury Event,No Seat Belt,Truck Involved,Speeding/Too Fast for Conditions,Impaired Driver,Failure to Yield,Snow/Sleet,Rollover,Intersection,Curve,Hill,Lane Departure,LAT,LON
Stark,2013,1,1,2,Injury,0,0,0,1,0,0,1,0,1,0,0,0,46.8777,-102.766
Burleigh,2013,1,7,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.8281,-100.773
Walsh,2013,1,6,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,48.4335,-97.415
Cass,2013,1,14,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,46.877,-96.785
Grand Forks,2013,1,9,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,47.9329,-97.051
Walsh,2013,1,1,1,Injury,0,0,0,1,1,0,0,0,1,1,0,1,48.427,-97.47
Barnes,2013,1,9,1,Injury,1,1,0,1,0,0,0,1,0,0,0,1,46.9067,-98.147
Cass,2013,1,13,1,Injury,0,0,0,0,0,0,0,1,0,1,0,1,47.195,-96.99
Williams,2013,1,6,2,Injury,1,0,0,1,0,0,1,0,0,0,0,0,48.3423,-103.399
Ward,2013,1,7,2,Injury,0,0,0,1,0,0,1,0,0,0,1,0,48.2107,-101.296
Ward,2013,1,1,3,Injury,0,0,0,1,0,0,0,0,1,0,0,0,48.2326,-101.289
Ward,2013,1,1,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,48.2112,-101.274
Williams,2013,1,10,2,Injury,0,0,1,0,0,1,0,0,1,0,0,0,48.2412,-103.561
McKenzie,2013,1,13,1,Injury,0,0,0,0,0,0,0,0,0,0,0,1,47.7469,-103.282
Burleigh,2013,1,17,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8159,-100.778
Cass,2013,1,17,2,Injury,0,.,0,0,0,0,0,0,1,0,0,0,46.8141,-96.842
Stark,2013,1,1,1,Injury,1,1,0,1,1,0,0,1,1,0,0,1,46.8856,-102.739
Ward,2013,1,0,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,48.1965,-101.314
Ward,2013,1,15,2,Injury,0,0,0,0,0,1,0,0,1,0,1,0,48.2473,-101.308
Ward,2013,1,1,2,Injury,0,0,0,0,0,1,0,0,1,0,1,0,48.2327,-101.288
Ward,2013,1,16,3,Injury,0,0,0,0,0,1,0,0,1,0,0,0,48.2092,-101.317
Bowman,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.1822,-103.392
Cass,2013,1,21,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.8759,-96.782
Morton,2013,1,15,2,Injury,0,0,0,0,0,0,0,0,0,1,0,0,46.8276,-100.881
Grand Forks,2013,1,2,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,47.9243,-97.036
Cass,2013,1,20,3,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.8905,-96.835
Cass,2013,1,16,2,Injury,0,.,0,0,0,0,0,0,0,0,0,0,46.8535,-96.851
Ward,2013,1,22,2,Injury,0,1,0,0,1,0,0,0,0,0,0,0,48.2228,-101.293
Barnes,2013,1,0,2,Injury,0,0,0,1,0,0,1,0,0,0,0,0,46.9199,-97.83
Williams,2013,1,8,2,Injury,0,1,0,0,0,0,0,0,1,0,1,0,48.1977,-103.626
Emmons,2013,1,20,1,Injury,0,1,0,0,1,0,0,0,0,0,0,1,46.3712,-100.232
Williams,2013,1,13,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,48.1452,-103.626
McKenzie,2013,1,9,1,Injury,0,1,0,0,0,0,0,0,0,1,0,1,47.6344,-103.261
Burleigh,2013,1,13,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8021,-100.785
Burleigh,2013,1,2,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.809,-100.698
Burleigh,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8046,-100.794
Burleigh,2013,1,1,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8021,-100.788
Grand Forks,2013,1,16,3,Injury,0,1,0,0,0,0,0,0,1,0,0,0,47.9184,-97.036
Cass,2013,1,16,2,Injury,0,.,0,0,0,0,0,0,1,0,0,0,46.8617,-96.851
McKenzie,2013,1,18,2,Injury,0,1,0,1,0,0,0,0,1,0,0,0,47.6893,-104.011
Wells,2013,1,18,1,Injury,0,0,0,0,1,0,0,0,0,1,0,1,47.6711,-99.618
Richland,2013,1,2,1,Injury,0,1,0,1,1,0,0,1,0,1,0,1,45.9353,-96.638
Williams,2013,1,16,1,Injury,0,1,0,1,0,0,0,0,0,0,0,0,48.1565,-103.615
Cass,2013,1,7,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.8512,-96.883
Burleigh,2013,1,13,2,Injury,1,0,0,1,0,0,0,0,1,0,1,0,46.8235,-100.689
Grand Forks,2013,1,7,1,Injury,0,0,0,1,1,0,0,0,0,0,0,1,47.9058,-97.048
Grand Forks,2013,1,7,1,Injury,0,0,0,0,1,0,0,0,0,0,0,1,47.904,-97.045
Morton,2013,1,15,2,Injury,0,1,1,0,0,0,0,0,0,0,1,0,46.863,-101.033
Cass,2013,1,0,3,Injury,0,0,0,0,1,0,0,0,0,0,0,0,46.8333,-96.846
Burleigh,2013,1,7,3,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8119,-100.788
Stark,2013,1,7,2,Injury,0,.,0,1,0,0,0,0,0,0,1,0,46.88,-102.758
Burleigh,2013,1,17,2,Injury,0,0,0,0,0,1,0,0,0,0,0,0,46.8219,-100.794
Burleigh,2013,1,0,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8032,-100.794
Dunn,2013,1,6,1,Injury,0,0,1,0,0,0,0,1,0,0,0,1,47.3572,-102.865
Cass,2013,1,15,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.8716,-96.846
McKenzie,2013,1,0,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,47.8048,-103.39
Morton,2013,1,18,2,Injury,0,.,0,1,0,0,0,0,0,0,0,0,46.8264,-100.89
McLean,2013,1,9,1,Injury,1,0,0,1,0,0,0,1,0,0,1,1,47.1891,-100.879
Burleigh,2013,1,0,1,Injury,0,0,0,1,0,0,0,0,0,0,1,0,46.8379,-100.806
Grand Forks,2013,1,7,3,Injury,0,0,0,0,0,0,0,0,0,0,0,0,47.9332,-97.049
Grand Forks,2013,1,18,1,Injury,0,0,0,1,0,0,0,0,0,0,0,1,47.9257,-97.088
Grand Forks,2013,1,19,2,Injury,0,.,0,0,0,0,0,0,1,0,0,0,47.9008,-97.045
Williams,2013,1,7,1,Injury,0,0,0,1,0,0,0,1,0,0,1,0,48.3424,-103.292
Ward,2013,1,15,2,Injury,0,0,0,0,0,1,0,0,0,0,0,0,48.2603,-101.305
Cass,2013,1,2,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8832,-96.798
Cass,2013,1,8,3,Injury,0,0,0,0,1,0,0,0,0,0,0,0,46.83,-96.808
Ward,2013,1,1,2,Injury,0,1,0,0,0,0,0,0,1,0,0,0,48.24,-101.296
Emmons,2013,1,4,1,Injury,1,0,1,1,0,0,0,0,0,0,0,1,46.129,-100.164
Traill,2013,1,17,1,Injury,1,1,0,1,0,0,0,1,0,0,0,1,47.4665,-97.073
McKenzie,2013,1,9,1,Injury,1,1,0,1,0,0,0,1,0,0,1,1,47.8627,-103.976
Williams,2013,1,18,3,Injury,0,0,0,0,0,0,1,1,0,0,0,1,48.3423,-103.439
Ramsey,2013,1,18,2,Injury,1,1,0,0,0,0,0,0,0,0,0,0,48.0555,-98.77
Williams,2013,1,6,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,47.9991,-104.007
Divide,2013,1,16,1,Injury,0,0,0,0,0,0,1,1,0,0,0,0,48.9089,-103.341
McKenzie,2013,1,8,2,Injury,0,1,0,1,0,0,0,0,1,0,0,0,47.801,-103.326
McKenzie,2013,1,2,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,47.8483,-103.642
Burleigh,2013,1,13,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.7942,-100.747
Grand Forks,2013,1,0,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,47.8966,-97.067
Grand Forks,2013,1,7,2,Injury,1,0,0,1,0,1,0,0,1,0,0,0,47.9223,-97.088
Burleigh,2013,1,14,2,Injury,1,1,0,0,1,0,0,0,0,0,1,0,46.8089,-100.808
McLean,2013,1,18,2,Injury,1,1,0,0,0,1,0,0,1,0,0,0,47.157,-100.793
Dunn,2013,1,4,1,Injury,0,0,0,1,0,0,0,1,0,0,1,1,47.3576,-102.801
Grand Forks,2013,1,2,1,Injury,0,0,0,0,0,0,0,0,0,1,0,1,47.8891,-97.086
Grand Forks,2013,1,7,2,Injury,0,1,0,0,0,1,0,0,0,0,0,0,47.9251,-97.041
Burleigh,2013,1,17,2,Injury,0,1,0,1,0,0,0,0,1,0,0,0,46.8339,-100.794
Burleigh,2013,1,17,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.7875,-100.764
Burleigh,2013,1,19,2,Injury,0,0,0,0,0,0,0,0,1,0,1,0,46.8041,-100.782
Ward,2013,1,14,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,48.2291,-101.188
Williams,2013,1,20,1,Injury,0,1,0,1,0,0,1,1,0,0,0,1,48.2266,-103.669
Stark,2013,1,16,2,Injury,0,0,0,1,0,0,1,0,1,0,0,0,46.8786,-102.784
Burleigh,2013,1,20,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8086,-100.788
Ward,2013,1,13,2,Injury,0,0,0,1,0,0,1,0,1,0,0,0,48.2762,-101.296
Grand Forks,2013,1,1,2,Injury,0,0,0,0,0,1,0,0,0,0,0,0,47.8887,-97.078
Cass,2013,1,6,2,Injury,0,0,0,1,0,0,1,0,0,0,0,0,46.9138,-96.783
Stark,2013,1,2,1,Injury,0,0,0,0,0,0,1,1,0,0,0,1,46.8909,-102.948
Cass,2013,1,0,2,Injury,0,0,0,1,0,0,1,0,0,0,0,0,46.8622,-96.927
Cass,2013,1,23,1,Injury,0,.,0,1,1,0,1,1,0,1,0,1,46.806,-96.839
Cass,2013,1,18,2,Injury,0,0,0,0,1,0,1,0,1,0,0,0,46.8034,-96.812
Cass,2013,1,13,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8243,-96.82
McKenzie,2013,1,7,2,Injury,1,0,1,1,0,0,1,0,0,0,0,0,47.8343,-103.644
Hettinger,2013,1,15,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,46.5383,-102.866
Williams,2013,1,9,2,Injury,0,1,1,0,0,0,1,0,1,0,1,0,48.2266,-103.626
Pierce,2013,1,12,1,Injury,0,0,0,0,0,0,1,0,0,0,0,0,48.3552,-100.175
Ward,2013,1,14,2,Injury,0,0,0,1,0,0,1,1,0,0,0,1,48.3414,-101.295
Divide,2013,1,14,1,Injury,0,0,0,1,0,0,0,1,1,1,0,1,48.9804,-103.749
Cass,2013,1,2,2,Injury,0,0,0,1,0,1,1,0,1,0,0,0,46.8698,-96.819
Ward,2013,1,7,2,Injury,1,.,0,0,0,0,0,0,0,0,0,0,48.2122,-101.25
Dunn,2013,1,22,1,Injury,0,1,0,1,1,0,0,0,0,0,0,1,47.3571,-102.292
Williams,2013,1,11,2,Injury,0,1,0,1,0,1,0,0,1,0,0,0,48.1656,-103.653
Burleigh,2013,1,16,3,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8117,-100.786
Adams,2013,1,2,1,Injury,0,0,0,0,1,0,0,1,0,0,0,1,46.1438,-102.871
McKenzie,2013,1,19,3,Fatal,1,1,1,0,0,0,0,0,0,0,1,0,47.8051,-103.01
Morton,2013,1,1,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8297,-100.874
Stark,2013,1,19,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.905,-102.79
Cass,2013,1,18,2,Injury,0,.,0,0,0,1,0,0,1,0,0,0,46.8327,-96.862
Cass,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8731,-96.794
Morton,2013,1,13,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8133,-100.833
Burleigh,2013,1,17,2,Injury,0,0,0,1,0,0,1,0,1,0,0,0,46.7936,-100.752
Burleigh,2013,1,22,2,Injury,0,0,0,1,1,0,0,0,0,0,0,0,46.795,-100.79
Burleigh,2013,1,8,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8382,-100.786
Burleigh,2013,1,8,2,Injury,0,1,0,0,0,1,0,0,1,0,0,0,46.8085,-100.782
Burleigh,2013,1,20,2,Injury,0,.,0,0,1,0,0,0,1,0,1,0,46.8236,-100.774
Burleigh,2013,1,17,2,Injury,0,.,0,0,0,0,1,0,1,0,0,0,46.8382,-100.771
Cass,2013,1,23,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8617,-96.845
Steele,2013,1,14,1,Injury,0,0,1,0,0,0,0,0,0,0,0,1,47.3116,-97.6
Morton,2013,1,17,1,Injury,0,1,0,1,0,0,1,1,0,1,0,1,46.5134,-100.589
Williams,2013,1,21,2,Injury,1,0,1,0,0,0,1,0,0,0,0,0,48.3424,-103.304
Cass,2013,1,1,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,46.8725,-96.883
Cass,2013,1,13,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8838,-96.892
Cass,2013,1,18,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,46.8641,-96.862
Stutsman,2013,1,0,1,Injury,0,1,0,1,0,0,0,1,0,0,0,1,46.8779,-99.355
Burleigh,2013,1,15,2,Injury,0,0,0,0,0,1,0,0,0,0,0,0,46.7969,-100.788
Burleigh,2013,1,18,3,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.7962,-100.782
Ward,2013,1,1,2,Injury,0,0,0,1,0,0,0,0,0,1,0,0,48.2223,-101.231
Ward,2013,1,1,1,Injury,0,0,0,0,0,0,1,1,0,0,0,1,48.2572,-101.295
Cass,2013,1,7,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8761,-96.836
Cass,2013,1,9,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8618,-96.862
Ward,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,0,0,1,0,48.2325,-101.294
Ward,2013,1,18,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,48.2255,-101.296
Grand Forks,2013,1,19,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,47.904,-97.04
Grand Forks,2013,1,20,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,47.8895,-97.078
Cass,2013,1,1,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.861,-96.831
Ward,2013,1,14,1,Injury,0,1,0,0,0,0,1,1,0,0,0,0,48.2402,-101.2
Ward,2013,1,1,1,Injury,0,0,0,1,0,0,0,1,0,0,1,1,47.8734,-101.293
Cass,2013,1,0,2,Injury,0,1,0,1,0,0,1,0,0,0,0,0,46.8486,-96.799
Ward,2013,1,0,2,Injury,1,0,1,1,0,0,0,1,0,1,0,0,48.2725,-101.432
Williams,2013,1,8,1,Injury,0,0,0,1,0,0,0,1,0,0,0,1,48.3421,-102.85
Williams,2013,1,8,1,Injury,0,0,0,1,0,0,0,1,0,0,0,0,48.2411,-103.788
La Moure,2013,1,9,1,Injury,0,0,0,1,0,0,1,1,0,0,1,0,46.5584,-98.719
Burleigh,2013,1,14,3,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8054,-100.783
Ward,2013,1,2,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,48.2107,-101.302
Grand Forks,2013,1,13,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,47.9112,-97.056
Grand Forks,2013,1,13,2,Injury,0,0,0,1,0,0,0,0,0,1,0,0,47.9139,-97.066
Grand Forks,2013,1,14,1,Injury,0,1,0,1,1,0,0,0,0,0,0,1,47.9113,-97.064
Cass,2013,1,19,3,Injury,0,1,0,1,0,0,0,0,0,0,0,0,46.8615,-96.814
Williams,2013,1,6,2,Injury,1,1,1,1,0,0,0,0,0,0,0,0,48.5689,-103.676
Grand Forks,2013,1,0,2,Injury,0,0,0,1,0,0,0,0,0,0,0,1,47.9209,-97.064
Mountrail,2013,1,16,1,Injury,1,1,0,1,0,0,0,1,0,0,0,1,48.3021,-102.073
Cass,2013,1,7,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8751,-96.8
Burleigh,2013,1,0,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,46.8055,-100.788
Ward,2013,1,8,2,Injury,0,0,0,0,0,0,0,0,1,0,0,0,48.2564,-101.296
Ward,2013,1,9,1,Injury,0,0,0,1,0,0,0,1,0,0,1,1,48.0037,-101.29
Grand Forks,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,0,1,0,0,47.914,-97.067
Cass,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8679,-96.819
Cass,2013,1,18,1,Injury,0,1,0,0,0,0,0,0,0,0,0,1,46.8906,-96.855
Renville,2013,1,19,2,Injury,0,0,0,0,0,0,0,1,0,0,0,1,48.4641,-101.299
Stutsman,2013,1,18,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.9063,-98.708
Cass,2013,1,23,3,Injury,0,1,0,0,0,1,0,0,0,0,0,0,46.8411,-96.869
Stutsman,2013,1,20,1,Injury,0,0,0,0,1,0,0,0,0,0,1,1,46.8874,-98.688
Stutsman,2013,1,8,1,Injury,0,0,0,1,0,0,0,1,0,1,0,1,46.8872,-99.106
Ward,2013,1,0,1,Injury,0,0,0,1,1,0,0,1,0,0,0,1,48.2401,-101.214
Nelson,2013,1,9,1,Injury,0,0,0,0,0,0,0,0,0,1,0,1,48.0038,-97.967
Williams,2013,1,11,2,Fatal,1,0,1,0,0,0,0,0,0,0,0,0,48.3423,-103.051
Cass,2013,1,18,1,Injury,0,1,0,0,0,0,0,0,0,0,0,1,46.8906,-96.855
Burleigh,2013,1,13,2,Injury,0,0,0,1,0,1,0,0,1,0,1,0,46.8105,-100.765
Ward,2013,1,15,2,Injury,0,0,0,0,0,0,0,0,1,0,1,0,48.2401,-101.296
Cass,2013,1,13,2,Injury,0,0,0,0,0,0,1,0,0,0,0,0,46.8729,-96.807
Cass,2013,1,1,2,Injury,0,0,0,0,1,0,0,0,0,0,0,0,46.9118,-96.777
Cass,2013,1,8,1,Injury,0,0,0,0,0,0,1,1,0,0,0,1,46.876,-97.289
Burleigh,2013,1,1,2,Injury,0,0,0,0,1,0,0,0,1,0,0,0,46.7968,-100.782
Burleigh,2013,1,15,2,Injury,0,0,0,1,0,1,0,0,1,0,1,0,46.8141,-100.791
Traill,2013,1,7,1,Injury,0,0,0,1,0,0,1,1,0,0,0,0,47.585,-97.001
Grand Forks,2013,1,20,1,Injury,0,1,0,1,0,0,0,0,0,0,0,1,48.0224,-97.128
Stutsman,2013,1,9,1,Injury,0,0,0,1,0,0,0,0,1,0,0,1,46.9194,-98.698
Burleigh,2013,1,1,1,Injury,0,0,0,1,1,0,0,1,0,0,1,1,46.8236,-100.781
Burleigh,2013,1,18,3,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8168,-100.778
Ward,2013,1,2,2,Injury,1,0,0,0,0,1,0,0,1,0,0,0,48.2762,-101.296
McLean,2013,1,14,1,Injury,0,0,0,1,0,0,0,0,1,0,0,1,47.6295,-101.462
Ward,2013,1,8,2,Injury,0,0,1,0,0,0,0,0,1,0,0,0,48.3962,-101.623
Cass,2013,1,22,2,Injury,0,0,0,1,0,0,0,0,0,1,0,0,46.8327,-96.842
Burleigh,2013,1,15,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,46.8152,-100.777
Burleigh,2013,1,8,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8365,-100.794
Grand Forks,2013,1,2,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,47.892,-97.077
Stark,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.896,-102.79
Barnes,2013,1,8,2,Injury,0,1,0,0,0,1,0,0,1,0,0,0,46.928,-98.007
Grand Forks,2013,1,13,3,Injury,0,0,0,0,0,0,0,0,1,0,0,0,47.9212,-97.045
Burleigh,2013,1,3,1,Injury,0,1,0,1,1,0,0,0,0,1,0,1,46.9106,-100.878
Ward,2013,1,13,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,48.2078,-101.318
Mountrail,2013,1,18,3,Injury,0,.,1,1,0,0,0,0,1,0,1,0,47.9795,-102.493
McKenzie,2013,1,16,2,Injury,0,1,1,1,0,0,0,0,1,0,1,0,47.8037,-102.942
McKenzie,2013,1,16,1,Injury,1,.,1,1,0,0,1,1,1,0,0,1,47.9776,-102.877
Burleigh,2013,1,18,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.7935,-100.794
Burleigh,2013,1,15,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.831,-100.794
Cass,2013,1,15,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8663,-96.844
Cass,2013,1,16,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8757,-96.809
Hettinger,2013,1,16,1,Injury,0,0,1,0,0,0,0,1,0,1,0,1,46.3733,-102.285
Stark,2013,1,17,2,Injury,0,0,0,1,0,1,1,0,1,0,0,0,46.9007,-103.19
Cass,2013,1,16,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.8905,-96.833
Grand Forks,2013,1,15,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,47.9043,-97.067
Stark,2013,1,10,2,Fatal,1,1,1,1,0,0,0,0,0,0,0,0,46.9459,-102.79
Burleigh,2013,1,16,3,Injury,0,0,0,1,0,0,0,0,0,0,0,0,46.7964,-100.781
Burleigh,2013,1,2,2,Injury,0,0,0,0,0,0,0,0,0,0,1,0,46.8382,-100.783
Ward,2013,1,2,1,Injury,0,0,0,1,0,0,0,1,0,1,0,1,48.2322,-101.305
Grand Forks,2013,1,9,1,Injury,0,1,0,0,0,0,1,0,0,0,0,1,47.9333,-97.037
Cass,2013,1,22,2,Injury,0,.,0,1,0,0,0,0,1,0,0,0,46.8291,-96.808
Grand Forks,2013,1,16,2,Injury,0,0,0,1,0,0,0,0,1,0,0,0,47.9092,-97.051
Ramsey,2013,1,21,2,Injury,0,0,0,1,0,0,0,0,0,0,0,0,48.1202,-98.865
Grand Forks,2013,1,18,2,Injury,0,0,0,0,0,0,0,0,0,1,0,0,47.9329,-97.092
Williams,2013,1,15,2,Injury,0,1,0,0,0,1,0,0,1,0,0,0,48.1532,-103.612
Morton,2013,1,2,1,Injury,0,0,0,0,0,0,0,1,0,0,0,1,46.8621,-101.817
Stark,2013,1,9,2,Injury,0,0,1,1,0,0,0,1,0,0,0,1,46.8805,-102.602
Morton,2013,1,2,1,Injury,0,0,0,1,0,0,0,1,0,0,1,1,46.8668,-101.947
Stark,2013,1,1,1,Injury,0,0,0,1,1,0,1,1,0,0,0,1,46.877,-102.487
Burleigh,2013,1,16,2,Injury,0,0,0,0,0,0,0,0,0,0,0,0,46.8008,-100.788
Cass,2013,1,14,2,Injury,0,0,0,0,0,1,0,0,0,0,0,0,46.8618,-96.862
Williams,2013,1,22,1,Injury,0,0,0,0,0,0,1,0,0,0,0,0,48.3422,-103.223
Cass,2013,1,7,2,Injury,0,0,0,0,0,1,0,0,0,0,0,0,46.8266,-96.883
Ransom,2013,1,7,1,Injury,0,.,0,0,0,0,0,0,0,0,0,1,46.6228,-97.602
McLean,2013,1,8,1,Injury,0,0,0,1,0,0,0,1,0,0,1,1,47.3441,-101.078
McLean,2013,1,5,1,Injury,0,0,0,1,0,0,0,1,0,0,0,1,47.6465,-101.583
Cass,2013,1,7,2,Injury,0,0,0,0,0,0,1,0,0,1,0,0,46.8182,-96.844
Cass,2013,1,18,4,Injury,0,0,0,1,0,0,1,0,0,0,1,0,46.8906,-96.839
Cass,2013,1,16,2,Injury,0,0,0,0,0,0,1,0,1,0,0,0,46.8455,-96.799
Cass,2013,1,2,4,Injury,1,0,0,1,0,0,1,0,0,0,0,0,46.8616,-96.83
Ward,2013,1,17,2,Injury,0,0,0,0,0,1,0,0,1,0,0,0,48.2334,-101.287
Williams,2013,1,9,1,Injury,0,0,0,1,0,0,0,1,0,0,1,1,48.3423,-103.079
McKenzie,2013,1,6,2,Injury,0,1,1,0,0,0,0,0,1,0,0,0,47.8627,-103.99
Ward,2013,1,6,1,Injury,0,0,0,1,0,0,0,1,0,0,1,1,48.2924,-101.1
Cass,2013,1,16,2,Injury,0,0,0,1,0,0,1,0,0,0,0,0,46.8755,-97.471
Ward,2013,1,2,2,Injury,0,1,0,1,0,0,0,0,1,0,1,0,48.2217,-101.313
Cass,2013,1,0,2,Injury,0,0,0,0,0,0,1,0,1,0,0,0,46.8671,-96.851
Cass,2013,1,6,2,Injury,0,0,0,1,0,0,1,0,1,0,0,0,46.8906,-96.856
McKenzie,2013,1,3,2,Injury,1,0,1,1,0,0,0,0,1,0,0,0,47.9062,-103.648
Cass,2013,1,6,1,Injury,0,0,0,0,0,0,1,0,1,0,0,1,46.8906,-96.851
Mountrail,2013,1,16,3,Injury,0,1,0,0,0,0,0,0,1,0,0,0,47.9795,-102.493
Rolette,2013,1,13,2,Injury,0,1,0,1,0,0,0,0,0,0,0,0,48.8593,-99.615
